# Directed graph (each unordered pair of nodes is saved once): CA-GrQc.txt 
# Collaboration network of Arxiv General Relativity category (there is an edge if authors coauthored at least one paper)
# Nodes: 5242 Edges: 28980
# FromNodeId	ToNodeId
17149	408
17149	3265
17149	16225
17149	16324
17149	21404
17149	26058
23901	18521
23901	25316
1498	3033
1498	3547
1498	14707
3033	1498
3033	3547
3033	14707
9893	20526
20526	9893
20526	16521
884	24699
884	24781
24699	884
24699	5202
24699	17800
24699	24781
20850	21798
20850	24293
20850	25272
1787	1279
1787	13056
1787	14550
13056	1373
13056	1588
13056	1787
13056	10310
13056	14982
18875	23758
20806	9017
20806	18875
5444	13931
5444	21608
15258	2072
15258	7071
15258	8195
15258	11227
15258	15951
15258	22278
2072	400
2072	4379
2072	6541
2072	6905
2072	7071
2072	8195
2072	8216
2072	8471
2072	11227
2072	12927
2072	13190
2072	14498
2072	15258
2072	15951
2072	19657
2072	22278
7071	2072
7071	15258
7071	15951
15951	2072
15951	7071
15951	15258
15951	17502
15951	17740
10039	639
10039	5408
2443	8625
2443	13369
8116	7650
8116	7991
13190	3323
13190	6905
13190	23708
14007	2710
14007	4708
14007	13190
14007	25916
5542	11861
11861	2287
9649	10251
9649	17294
9649	17626
9649	23637
17626	2309
17626	4211
17626	22426
17626	23637
4633	18415
18415	4633
18415	7194
482	5934
482	1366
26194	10268
7625	1685
7625	4433
7625	4952
7625	16335
7625	19078
7625	20383
1386	2720
1386	9124
1386	9829
2720	1386
2720	6913
2720	9124
7246	11490
7246	17240
17240	7246
17240	11490
4102	17911
4102	26127
4102	26176
10376	4102
10376	13801
10376	15325
10376	17911
10376	26176
5606	4700
5606	9124
9207	2870
9207	12654
9207	20391
9207	22555
9207	24753
23204	8680
5601	23064
5601	23841
8710	9522
8710	22483
2591	3909
2591	8916
2591	10762
2591	13276
2591	16765
2591	18517
5083	5084
5083	8711
8711	5083
8711	5084
5084	5083
5084	8711
9265	8254
11372	1172
11372	4139
11372	4247
11372	4250
21860	8261
21860	20662
21860	22837
4180	45
4180	570
4180	4673
4180	10055
4180	15846
4180	25758
15959	283
15959	6154
15959	14924
21707	25271
2316	11929
2316	11939
2316	16935
11939	2316
11939	15235
11939	16935
350	951
350	25676
951	350
951	25676
25676	350
25676	951
15365	2532
1958	23693
1958	24696
1958	24833
1958	26196
18379	23490
6918	2443
6918	8116
6918	14369
6918	17738
1556	11965
1556	14096
1556	23154
23154	1556
22382	15998
4759	18940
4759	24860
12664	6030
12664	15191
14345	24240
5212	6628
5212	19015
5212	19444
5212	25139
6628	5212
6628	19015
6628	19444
6628	25139
19015	5212
19015	6628
19015	19444
25139	6628
25139	19015
25139	19444
22023	15770
11610	9126
11610	11696
11610	18453
9126	11610
9126	11696
9126	18453
9441	10388
10388	9441
10388	10539
5807	25006
18782	6583
18782	6807
18782	7277
18782	18408
18782	23883
21075	1311
21075	1321
21075	1430
12311	9889
12311	12675
6264	385
6264	1098
6264	1323
6264	23620
6264	24332
376	2611
376	16620
2611	376
2611	1908
2611	16620
2611	16621
16620	376
16620	1908
16620	2611
13999	13801
13999	24870
12675	135
12675	4442
14834	26193
23248	14834
10872	2666
10872	24250
24250	2666
24250	10872
2666	10872
2666	24250
9630	10252
9630	16820
10252	9630
10252	16820
16820	9630
16820	10252
4877	7459
4877	8862
4877	24932
5570	834
5570	2490
5570	11447
834	2490
834	5570
834	11447
15882	3228
10381	9143
10381	9184
10381	12842
10381	25916
22721	10381
22721	12842
22721	25916
14159	5144
14159	24852
24852	5144
24852	8869
24852	14159
299	14174
299	18746
22051	18746
22051	22075
5547	543
5547	5659
5547	12313
5659	543
5659	5547
5659	12313
12313	543
12313	5547
12313	5659
13520	20207
13520	21943
13520	22224
13520	22826
4525	2356
4525	6337
6337	16486
6337	18105
6337	20030
6337	24762
18105	4525
18105	6337
19964	2516
19964	10923
19964	16013
2342	16013
2342	19964
1796	3386
1796	5052
3386	941
3386	1796
3386	3178
3386	5052
3386	13712
3386	16727
3386	25442
19980	5957
18208	25896
15920	14924
15920	15959
1608	6264
1608	20660
25304	4293
25304	14512
25304	14854
25304	24489
14854	6835
14854	14512
14854	25304
14512	2741
14512	4632
14512	7956
14512	9785
14512	15003
14512	16594
14512	18866
14512	20774
14512	21508
14512	25304
14512	25346
24219	2255
24219	24835
24835	4575
24835	4782
24835	15582
24835	21930
24835	24219
17933	5156
15891	3321
15891	6465
15891	6823
15891	20595
6823	491
6823	24706
6823	25998
6465	3321
12324	8876
